usage_id,user_id,feature_name,first_used_date,total_usage_count,last_used_date,days_since_signup_at_first_use
FU00000001,U000001,reporting_dashboard,2024-05-18,3,2024-06-07,36
FU00000002,U000001,integrations_slack,2024-07-06,3,2024-08-01,85
FU00000003,U000002,kanban_boards,2024-04-24,5,2024-04-30,15
FU00000004,U000002,integrations_slack,2024-06-16,2,2024-07-03,68
FU00000005,U000003,kanban_boards,2024-12-17,5,2024-12-26,75
FU00000006,U000003,reporting_dashboard,2024-11-29,5,2024-12-09,57
FU00000007,U000004,integrations_google_drive,2025-12-11,29,2025-12-25,11
FU00000008,U000005,reporting_dashboard,2025-05-31,7,2025-06-27,32
FU00000009,U000005,integrations_slack,2025-06-09,7,2025-07-01,41
FU00000010,U000005,integrations_google_drive,2025-05-20,5,2025-05-24,21
FU00000011,U000006,kanban_boards,2025-01-01,8,2025-01-23,21
FU00000012,U000006,reporting_dashboard,2024-12-23,2,2025-01-16,12
FU00000013,U000006,integrations_slack,2025-01-03,4,2025-01-05,23
FU00000014,U000007,kanban_boards,2024-01-04,9,2024-01-29,2
FU00000015,U000007,integrations_slack,2024-03-08,9,2024-03-13,66
FU00000016,U000007,integrations_google_drive,2024-01-31,2,2024-02-28,29
FU00000017,U000008,kanban_boards,2024-10-25,3,2024-10-28,29
FU00000018,U000008,reporting_dashboard,2025-02-22,6,2025-03-11,149
FU00000019,U000008,integrations_slack,2024-10-05,9,2024-10-19,9
FU00000020,U000008,integrations_google_drive,2024-11-27,2,2024-12-11,62
FU00000021,U000009,kanban_boards,2024-03-27,2,2024-04-07,34
FU00000022,U000009,reporting_dashboard,2024-07-16,6,2024-08-05,145
FU00000023,U000009,integrations_slack,2024-04-23,8,2024-04-29,61
FU00000024,U000010,kanban_boards,2025-06-17,9,2025-06-28,13
FU00000025,U000010,reporting_dashboard,2025-07-12,3,2025-07-15,38
FU00000026,U000011,reporting_dashboard,2025-05-16,8,2025-06-08,12
FU00000027,U000011,integrations_google_drive,2025-06-19,7,2025-06-27,46
FU00000028,U000012,kanban_boards,2024-05-27,2,2024-06-16,49
FU00000029,U000012,integrations_slack,2024-05-08,1,2024-06-03,30
FU00000030,U000012,integrations_google_drive,2024-05-22,8,2024-06-13,44
FU00000031,U000013,reporting_dashboard,2024-10-10,6,2024-10-27,66
FU00000032,U000014,reporting_dashboard,2025-08-11,37,2025-12-27,25
FU00000033,U000014,integrations_slack,2025-09-09,8,2025-12-27,54
FU00000034,U000015,kanban_boards,2024-06-24,7,2024-06-29,16
FU00000035,U000015,reporting_dashboard,2024-07-10,2,2024-07-17,32
FU00000036,U000015,integrations_google_drive,2024-06-17,8,2024-06-30,9
FU00000037,U000016,kanban_boards,2024-02-16,1,2024-03-01,19
FU00000038,U000016,reporting_dashboard,2024-04-05,2,2024-05-04,68
FU00000039,U000016,integrations_slack,2024-03-31,9,2024-04-10,63
FU00000040,U000017,kanban_boards,2025-01-15,3,2025-01-24,4
FU00000041,U000017,time_tracking,2025-02-03,7,2025-02-18,23
FU00000042,U000017,reporting_dashboard,2025-01-26,3,2025-02-18,15
FU00000043,U000019,kanban_boards,2025-09-02,38,2025-12-29,47
FU00000044,U000020,kanban_boards,2025-12-05,8,2025-12-16,63
FU00000045,U000020,reporting_dashboard,2025-11-07,3,2025-11-13,35
FU00000046,U000020,integrations_google_drive,2025-11-17,9,2025-12-03,45
FU00000047,U000021,kanban_boards,2025-11-20,7,2025-12-25,18
FU00000048,U000021,integrations_google_drive,2025-12-03,6,2025-12-25,31
FU00000049,U000022,kanban_boards,2025-10-02,45,2025-12-31,31
FU00000050,U000022,integrations_slack,2025-09-27,4,2025-12-31,26
FU00000051,U000023,custom_fields,2025-03-13,19,2025-12-28,35
FU00000052,U000023,integrations_slack,2025-04-04,3,2025-12-28,57
FU00000053,U000024,kanban_boards,2025-11-29,12,2025-12-30,58
FU00000054,U000024,integrations_slack,2025-10-08,5,2025-12-30,6
FU00000055,U000025,kanban_boards,2025-10-02,8,2025-12-30,17
FU00000056,U000026,reporting_dashboard,2024-01-28,9,2024-02-10,19
FU00000057,U000026,integrations_google_drive,2024-02-27,8,2024-03-11,49
FU00000058,U000027,kanban_boards,2025-11-08,38,2025-12-28,53
FU00000059,U000027,reporting_dashboard,2025-12-08,26,2025-12-28,83
FU00000060,U000027,integrations_slack,2025-12-27,31,2025-12-28,102
FU00000061,U000027,integrations_google_drive,2025-10-22,18,2025-12-28,36
FU00000062,U000028,reporting_dashboard,2024-12-23,5,2025-01-17,20
FU00000063,U000028,integrations_slack,2024-12-29,2,2025-01-15,26
FU00000064,U000029,custom_fields,2025-05-24,35,2025-12-31,6
FU00000065,U000029,reporting_dashboard,2025-07-08,41,2025-12-31,51
FU00000066,U000029,integrations_slack,2025-08-02,33,2025-12-31,76
FU00000067,U000029,integrations_google_drive,2025-06-19,13,2025-12-31,32
FU00000068,U000030,kanban_boards,2025-07-22,47,2025-12-30,6
FU00000069,U000030,reporting_dashboard,2025-08-05,10,2025-12-30,20
FU00000070,U000031,kanban_boards,2025-10-31,39,2025-12-31,11
FU00000071,U000031,reporting_dashboard,2026-01-11,21,2025-12-31,83
FU00000072,U000031,integrations_slack,2025-12-07,29,2025-12-31,48
FU00000073,U000032,kanban_boards,2024-04-05,1,2024-04-12,59
