user_id,step_1_completed,step_1_timestamp,step_2_completed,step_2_timestamp,step_3_completed,step_3_timestamp,step_4_completed,step_4_timestamp,onboarding_completed,onboarding_completion_date,time_to_complete_hours,ab_test_variant
U000001,True,2024-04-12 00:08:00,True,2024-04-12 00:30:00,False,,False,,False,,,
U000002,True,2024-04-09 00:13:00,True,2024-04-09 01:11:00,True,2024-04-09 13:11:00,True,2024-04-09 13:34:00,True,2024-04-09 13:34:00,13.566666666666666,
U000003,True,2024-10-03 00:13:00,True,2024-10-03 01:03:00,True,2024-10-04 10:03:00,True,2024-10-04 10:32:00,True,2024-10-04 10:32:00,34.53333333333333,
U000004,True,2025-11-30 00:12:00,True,2025-11-30 00:22:00,False,,False,,False,,,control
U000005,True,2025-04-29 00:16:00,True,2025-04-29 01:04:00,True,2025-04-29 19:04:00,True,2025-04-29 19:10:00,True,2025-04-29 19:10:00,19.166666666666668,
U000006,True,2024-12-11 00:13:00,False,,False,,False,,False,,,
U000007,True,2024-01-02 00:11:00,True,2024-01-02 01:01:00,False,,False,,False,,,
U000008,True,2024-09-26 00:15:00,False,,False,,False,,False,,,
U000009,True,2024-02-22 00:08:00,True,2024-02-22 00:59:00,True,2024-02-23 16:59:00,True,2024-02-23 17:08:00,True,2024-02-23 17:08:00,41.13333333333333,
U000010,True,2025-06-04 00:08:00,True,2025-06-04 00:37:00,True,2025-06-04 01:37:00,False,,False,,,
U000011,True,2025-05-04 00:12:00,False,,False,,False,,False,,,
U000012,True,2024-04-08 00:09:00,True,2024-04-08 00:25:00,True,2024-04-09 10:25:00,True,2024-04-09 10:41:00,True,2024-04-09 10:41:00,34.68333333333333,
U000013,True,2024-08-05 00:20:00,True,2024-08-05 00:38:00,True,2024-08-05 07:38:00,True,2024-08-05 07:52:00,True,2024-08-05 07:52:00,7.866666666666666,
U000014,True,2025-07-17 00:12:00,True,2025-07-17 00:51:00,True,2025-07-17 06:51:00,True,2025-07-17 07:20:00,True,2025-07-17 07:20:00,7.333333333333333,
U000015,True,2024-06-08 00:16:00,True,2024-06-08 00:38:00,True,2024-06-09 08:38:00,True,2024-06-09 08:53:00,True,2024-06-09 08:53:00,32.88333333333333,
U000016,True,2024-01-28 00:22:00,True,2024-01-28 01:21:00,True,2024-01-28 13:21:00,True,2024-01-28 13:26:00,True,2024-01-28 13:26:00,13.433333333333334,
