subscription_id,workspace_id,plan_type,mrr,start_date,end_date,is_active,churn_date,churn_reason
SUB000001,WS000457,free,0,2024-04-12,,True,,
SUB000002,WS000103,free,0,2024-04-09,,True,,
SUB000003,WS001127,starter,40,2024-09-03,,True,,
SUB000004,WS001004,free,0,2024-05-23,,True,,
SUB000005,WS000915,starter,50,2024-05-07,,True,,
SUB000006,WS000572,free,0,2024-06-06,,True,,
SUB000007,WS000420,starter,70,2024-01-02,,True,,
SUB000008,WS002234,starter,10,2024-09-26,2025-05-05,False,2025-05-05,feature_gap
SUB000009,WS000357,free,0,2024-02-22,,True,,
SUB000010,WS002419,starter,50,2024-01-26,,True,,
SUB000011,WS001729,free,0,2024-12-10,,True,,
SUB000012,WS000131,free,0,2024-04-08,,True,,
SUB000013,WS000123,starter,20,2024-08-05,,True,,
SUB000014,WS000384,free,0,2025-07-17,,True,,
SUB000015,WS000896,free,0,2024-06-08,,True,,
SUB000016,WS000953,starter,50,2024-01-28,,True,,
SUB000017,WS002070,free,0,2025-01-11,,True,,
SUB000018,WS002466,professional,100,2024-08-12,,True,,
SUB000019,WS000109,free,0,2025-07-17,,True,,
SUB000020,WS002299,free,0,2024-07-27,,True,,
SUB000021,WS000815,free,0,2024-01-01,,True,,
SUB000022,WS002233,starter,20,2025-03-28,,True,,
SUB000023,WS001719,starter,50,2024-06-23,,True,,
SUB000024,WS000903,starter,50,2024-03-20,,True,,
SUB000025,WS001840,free,0,2024-03-21,,True,,
SUB000026,WS002414,free,0,2024-01-09,2024-11-05,False,2024-11-05,competitor
SUB000027,WS001140,free,0,2025-01-20,,True,,
SUB000028,WS000027,starter,80,2024-05-14,,True,,
SUB000029,WS000654,starter,20,2025-05-18,,True,,
SUB000030,WS001732,professional,75,2025-07-16,,True,,
SUB000031,WS001394,free,0,2024-04-23,,True,,
SUB000032,WS001139,free,0,2024-02-06,,True,,
SUB000033,WS000637,free,0,2024-03-29,,True,,
SUB000034,WS000882,free,0,2024-04-17,,True,,
SUB000035,WS001379,free,0,2024-09-02,,True,,
SUB000036,WS000419,starter,30,2024-02-05,,True,,
SUB000037,WS000380,free,0,2024-01-04,,True,,
SUB000038,WS001557,free,0,2024-02-04,,True,,
SUB000039,WS000397,professional,175,2024-01-05,,True,,
SUB000040,WS001471,free,0,2024-02-26,,True,,
SUB000041,WS001409,free,0,2024-01-25,,True,,
SUB000042,WS002473,free,0,2024-04-23,,True,,
SUB000043,WS001084,free,0,2024-03-26,,True,,
SUB000044,WS000178,starter,50,2024-01-09,,True,,
SUB000045,WS001882,free,0,2024-04-09,2025-03-31,False,2025-03-31,other
SUB000046,WS002197,professional,150,2024-02-23,,True,,
SUB000047,WS000512,starter,30,2025-10-10,,True,,
SUB000048,WS001551,free,0,2024-09-24,,True,,
SUB000049,WS000323,free,0,2024-02-15,,True,,
SUB000050,WS002262,professional,150,2024-05-24,,True,,
SUB000051,WS001201,free,0,2024-04-05,,True,,
SUB000052,WS001482,free,0,2024-03-02,,True,,
SUB000053,WS002365,free,0,2024-03-16,,True,,
SUB000054,WS000788,starter,50,2024-10-10,,True,,
SUB000055,WS000285,free,0,2025-02-01,,True,,
SUB000056,WS000188,free,0,2024-09-25,,True,,
SUB000057,WS000934,free,0,2024-02-26,,True,,
SUB000058,WS001186,free,0,2024-06-24,,True,,
SUB000059,WS000327,professional,50,2024-02-08,,True,,
SUB000060,WS000954,starter,80,2024-01-01,,True,,
SUB000061,WS000414,starter,60,2024-01-01,,True,,
SUB000062,WS001858,starter,90,2024-01-18,,True,,
SUB000063,WS001495,free,0,2024-07-17,2025-07-28,False,2025-07-28,competitor
SUB000064,WS000667,free,0,2024-09-12,2025-07-17,False,2025-07-17,price
SUB000065,WS001517,starter,20,2025-01-08,,True,,
SUB000066,WS001456,professional,175,2024-04-01,,True,,
SUB000067,WS000859,enterprise,350,2025-01-19,,True,,
SUB000068,WS001094,free,0,2024-03-25,,True,,
SUB000069,WS000293,free,0,2024-01-22,,True,,
SUB000070,WS002496,professional,25,2024-02-23,2025-04-05,False,2025-04-05,competitor
SUB000071,WS000701,free,0,2024-04-12,2025-02-06,False,2025-02-06,feature_gap
SUB000072,WS002188,free,0,2024-04-14,,True,,
SUB000073,WS001003,starter,60,2024-01-12,,True,,
SUB000074,WS000670,free,0,2024-02-12,,True,,
SUB000075,WS001894,free,0,2025-10-08,,True,,
SUB000076,WS001555,free,0,2024-01-05,,True,,
SUB000077,WS001106,free,0,2024-02-05,,True,,
SUB000078,WS002282,professional,100,2024-12-02,,True,,
SUB000079,WS000900,free,0,2024-01-28,,True,,
SUB000080,WS001329,free,0,2024-02-07,,True,,
SUB000081,WS000230,professional,275,2024-03-31,,True,,
SUB000082,WS000939,free,0,2024-08-20,,True,,
SUB000083,WS000132,professional,125,2024-04-02,,True,,
SUB000084,WS001293,starter,70,2024-01-10,,True,,
SUB000085,WS001644,free,0,2024-08-30,2025-04-16,False,2025-04-16,price
SUB000086,WS001097,free,0,2025-08-28,,True,,
SUB000087,WS000272,free,0,2024-04-21,2025-10-31,False,2025-10-31,competitor
SUB000088,WS000865,free,0,2024-07-14,,True,,
SUB000089,WS002324,starter,80,2024-01-10,,True,,
SUB000090,WS001289,free,0,2024-03-13,,True,,
SUB000091,WS000871,free,0,2024-05-16,,True,,
SUB000092,WS002045,free,0,2024-04-13,,True,,
SUB000093,WS001621,professional,125,2024-01-15,,True,,
SUB000094,WS001880,free,0,2024-08-08,,True,,
SUB000095,WS000586,starter,30,2025-01-25,,True,,
SUB000096,WS001085,enterprise,150,2024-01-05,,True,,
SUB000097,WS001011,free,0,2025-05-01,,True,,
SUB000098,WS002300,starter,40,2024-10-09,,True,,
SUB000099,WS002208,free,0,2025-01-30,2025-09-03,False,2025-09-03,competitor
SUB000100,WS001077,free,0,2024-02-21,,True,,
SUB000101,WS002395,professional,150,2024-04-29,,True,,
SUB000102,WS001755,free,0,2025-07-20,,True,,
SUB000103,WS002391,starter,80,2024-04-11,,True,,
SUB000104,WS001636,free,0,2024-06-27,,True,,
SUB000105,WS001483,free,0,2024-06-04,,True,,
SUB000106,WS000899,free,0,2024-01-14,,True,,
SUB000107,WS000567,free,0,2024-05-13,,True,,
SUB000108,WS002088,free,0,2024-04-22,,True,,
SUB000109,WS002022,professional,100,2024-08-24,,True,,
SUB000110,WS000373,free,0,2024-03-06,,True,,
SUB000111,WS000193,free,0,2024-10-02,,True,,
SUB000112,WS000450,starter,20,2024-11-08,2025-07-14,False,2025-07-14,price
SUB000113,WS000627,free,0,2024-07-03,,True,,
SUB000114,WS000656,free,0,2024-08-09,,True,,
SUB000115,WS001730,enterprise,150,2024-08-12,,True,,
SUB000116,WS002443,professional,200,2024-02-27,,True,,
SUB000117,WS000261,free,0,2024-05-09,,True,,
SUB000118,WS001577,free,0,2024-01-02,,True,,
SUB000119,WS001564,professional,100,2024-01-27,,True,,
SUB000120,WS002441,free,0,2024-10-25,,True,,
SUB000121,WS001918,free,0,2024-01-21,,True,,
SUB000122,WS002168,starter,20,2024-02-24,,True,,
SUB000123,WS001030,free,0,2024-05-10,,True,,
SUB000124,WS002267,starter,90,2024-10-22,,True,,
SUB000125,WS000048,free,0,2024-12-09,2025-10-14,False,2025-10-14,price
SUB000126,WS000470,free,0,2024-05-29,,True,,
SUB000127,WS002200,starter,50,2024-01-30,,True,,
SUB000128,WS001093,free,0,2024-01-03,,True,,
SUB000129,WS001203,free,0,2024-06-28,2025-08-04,False,2025-08-04,feature_gap
SUB000130,WS001781,free,0,2024-01-16,2025-04-16,False,2025-04-16,competitor
SUB000131,WS000648,free,0,2024-03-05,,True,,
SUB000132,WS001859,free,0,2024-04-03,,True,,
SUB000133,WS000014,free,0,2024-08-20,,True,,
SUB000134,WS001079,free,0,2024-02-14,,True,,
SUB000135,WS002051,enterprise,300,2024-02-06,,True,,
SUB000136,WS000732,professional,150,2024-09-03,,True,,
SUB000137,WS002080,free,0,2024-10-14,,True,,
SUB000138,WS000436,free,0,2024-02-18,,True,,
SUB000139,WS001223,free,0,2024-01-28,,True,,
SUB000140,WS002495,free,0,2024-02-16,,True,,
SUB000141,WS001532,professional,175,2024-01-02,,True,,
SUB000142,WS000662,starter,40,2024-01-31,,True,,
SUB000143,WS002210,free,0,2024-02-13,,True,,
SUB000144,WS002173,free,0,2024-02-24,,True,,
SUB000145,WS000003,free,0,2024-07-21,,True,,
SUB000146,WS002454,free,0,2024-01-02,,True,,
SUB000147,WS001328,starter,40,2024-11-09,,True,,
SUB000148,WS002002,free,0,2024-04-21,,True,,
SUB000149,WS000080,free,0,2024-04-15,,True,,
SUB000150,WS000459,free,0,2024-01-03,,True,,
SUB000151,WS001487,free,0,2024-04-14,,True,,
SUB000152,WS001260,free,0,2024-06-22,,True,,
SUB000153,WS000981,free,0,2024-02-07,,True,,
SUB000154,WS000238,free,0,2025-06-04,,True,,
SUB000155,WS000987,free,0,2024-03-04,,True,,
SUB000156,WS000351,free,0,2024-01-02,,True,,
SUB000157,WS001991,free,0,2024-05-22,,True,,
SUB000158,WS000284,starter,20,2024-12-24,,True,,
SUB000159,WS002182,starter,40,2024-01-25,,True,,
SUB000160,WS000516,starter,30,2024-12-07,,True,,
SUB000161,WS000526,free,0,2024-09-20,,True,,
SUB000162,WS001947,free,0,2024-06-16,,True,,
SUB000163,WS002252,free,0,2024-01-16,,True,,
SUB000164,WS000677,free,0,2024-05-31,2025-09-29,False,2025-09-29,competitor
SUB000165,WS001086,free,0,2024-05-12,,True,,
SUB000166,WS002162,free,0,2025-01-19,,True,,
SUB000167,WS002485,free,0,2024-01-14,,True,,
SUB000168,WS001734,professional,125,2024-01-28,,True,,
SUB000169,WS000868,free,0,2024-01-10,,True,,
SUB000170,WS002209,free,0,2024-08-17,,True,,
SUB000171,WS000824,professional,75,2024-06-04,,True,,
SUB000172,WS001277,professional,125,2024-01-20,,True,,
