usage_id,user_id,feature_name,first_used_date,total_usage_count,last_used_date,days_since_signup_at_first_use
fu_0,u_0,kanban_boards,2024-09-09,99,2025-12-27,7
fu_1,u_0,integrations_slack,2024-09-10,86,2025-12-31,8
fu_2,u_2,kanban_boards,2025-10-25,35,2025-12-25,13
fu_3,u_2,time_tracking,2025-10-22,232,2025-12-28,10
fu_4,u_2,custom_fields,2025-11-06,74,2025-12-25,25
fu_5,u_2,reporting_dashboard,2025-10-28,35,2025-12-26,16
fu_6,u_2,integrations_slack,2025-11-10,6,2025-12-27,29
fu_7,u_2,integrations_google_drive,2025-10-17,86,2025-12-27,5
fu_8,u_3,integrations_google_drive,2024-07-05,69,2025-12-25,3
fu_9,u_4,kanban_boards,2024-08-19,15,2025-12-26,2
fu_10,u_4,integrations_slack,2024-09-13,35,2025-12-30,27
fu_11,u_4,integrations_google_drive,2024-08-17,45,2025-12-30,0
fu_12,u_5,kanban_boards,2024-07-23,54,2025-12-25,2
fu_13,u_7,kanban_boards,2025-06-22,10,2025-12-25,25
fu_14,u_7,reporting_dashboard,2025-06-14,31,2025-12-26,17
fu_15,u_7,integrations_slack,2025-06-20,37,2025-12-25,23
fu_16,u_8,kanban_boards,2025-09-04,5,2025-12-30,7
fu_17,u_9,kanban_boards,2025-05-07,15,2025-12-29,26
fu_18,u_9,reporting_dashboard,2025-04-14,12,2025-12-25,3
fu_19,u_10,kanban_boards,2024-11-23,82,2025-12-30,4
fu_20,u_10,reporting_dashboard,2024-11-24,68,2025-12-25,5
fu_21,u_10,integrations_slack,2024-11-20,53,2025-12-26,1
fu_22,u_12,kanban_boards,2024-11-15,34,2025-12-29,9
fu_23,u_12,reporting_dashboard,2024-11-29,31,2025-12-30,23
fu_24,u_12,integrations_slack,2024-11-15,27,2025-12-30,9
fu_25,u_12,integrations_google_drive,2024-12-02,63,2025-12-27,26
fu_26,u_13,kanban_boards,2024-12-01,61,2025-12-30,0
fu_27,u_13,custom_fields,2024-12-07,99,2025-12-26,6
fu_28,u_13,reporting_dashboard,2024-12-15,62,2025-12-29,14
fu_29,u_13,integrations_google_drive,2024-12-22,17,2025-12-31,21
fu_30,u_16,kanban_boards,2025-02-23,15,2025-12-30,4
fu_31,u_16,custom_fields,2025-03-19,26,2025-12-30,28
fu_32,u_16,integrations_slack,2025-02-24,38,2025-12-29,5
fu_33,u_18,kanban_boards,2024-04-24,66,2025-12-30,5
fu_34,u_18,reporting_dashboard,2024-05-03,79,2025-12-30,14
fu_35,u_18,integrations_slack,2024-05-13,79,2025-12-30,24
fu_36,u_18,integrations_google_drive,2024-04-20,57,2025-12-30,1
fu_37,u_22,kanban_boards,2025-12-30,92,2025-12-26,0
fu_38,u_24,kanban_boards,2024-03-04,18,2025-12-28,27
fu_39,u_24,custom_fields,2024-03-05,44,2025-12-25,28
fu_40,u_24,reporting_dashboard,2024-02-17,78,2025-12-26,11
fu_41,u_26,kanban_boards,2025-02-12,26,2025-12-30,16
fu_42,u_26,integrations_slack,2025-01-29,22,2025-12-25,2
fu_43,u_26,integrations_google_drive,2025-02-25,18,2025-12-27,29
fu_44,u_27,reporting_dashboard,2025-05-31,42,2025-12-31,11
fu_45,u_31,kanban_boards,2025-12-19,59,2025-12-28,11
fu_46,u_31,automation_rules,2025-12-12,43,2025-12-26,4
fu_47,u_31,integrations_google_drive,2025-12-16,56,2025-12-29,8
fu_48,u_34,kanban_boards,2025-07-28,29,2025-12-29,29
fu_49,u_34,time_tracking,2025-06-30,478,2025-12-30,1
fu_50,u_34,custom_fields,2025-06-30,75,2025-12-25,1
fu_51,u_34,reporting_dashboard,2025-07-14,35,2025-12-28,15
fu_52,u_34,integrations_slack,2025-07-24,13,2025-12-31,25
fu_53,u_34,integrations_google_drive,2025-07-21,50,2025-12-25,22
fu_54,u_36,kanban_boards,2025-07-03,23,2025-12-28,10
fu_55,u_36,reporting_dashboard,2025-07-03,89,2025-12-30,10
fu_56,u_36,integrations_slack,2025-07-10,58,2025-12-28,17
fu_57,u_36,integrations_google_drive,2025-06-27,58,2025-12-29,4
fu_58,u_37,kanban_boards,2024-04-25,77,2025-12-26,17
fu_59,u_37,reporting_dashboard,2024-04-15,45,2025-12-30,7
fu_60,u_38,integrations_slack,2025-06-28,14,2025-12-31,25
fu_61,u_40,kanban_boards,2025-02-17,98,2025-12-28,27
fu_62,u_40,automation_rules,2025-02-15,73,2025-12-25,25
fu_63,u_40,custom_fields,2025-02-08,32,2025-12-25,18
fu_64,u_40,reporting_dashboard,2025-02-17,15,2025-12-25,27
fu_65,u_40,integrations_slack,2025-02-18,85,2025-12-26,28
fu_66,u_40,integrations_google_drive,2025-02-02,94,2025-12-31,12
fu_67,u_41,kanban_boards,2025-08-26,93,2025-12-29,18
fu_68,u_41,time_tracking,2025-08-24,139,2025-12-25,16
fu_69,u_41,automation_rules,2025-08-23,49,2025-12-26,15
fu_70,u_41,custom_fields,2025-08-19,68,2025-12-31,11
fu_71,u_41,reporting_dashboard,2025-08-23,64,2025-12-30,15
fu_72,u_41,integrations_slack,2025-08-24,73,2025-12-28,16
fu_73,u_41,integrations_google_drive,2025-08-15,23,2025-12-30,7
fu_74,u_42,kanban_boards,2024-05-04,5,2025-12-31,19
fu_75,u_42,reporting_dashboard,2024-04-18,15,2025-12-30,3
fu_76,u_42,integrations_slack,2024-04-18,56,2025-12-30,3
fu_77,u_43,integrations_google_drive,2025-06-14,10,2025-12-28,4
fu_78,u_47,kanban_boards,2025-01-02,71,2025-12-29,9
fu_79,u_47,reporting_dashboard,2024-12-24,85,2025-12-26,0
fu_80,u_47,integrations_google_drive,2025-01-08,20,2025-12-29,15
fu_81,u_48,kanban_boards,2025-04-25,40,2025-12-26,4
fu_82,u_49,integrations_google_drive,2025-12-19,83,2025-12-31,8
fu_83,u_52,reporting_dashboard,2025-03-17,46,2025-12-31,26
fu_84,u_52,integrations_slack,2025-02-22,24,2025-12-27,3
fu_85,u_53,kanban_boards,2024-04-19,19,2025-12-28,14
fu_86,u_53,reporting_dashboard,2024-04-09,61,2025-12-25,4
fu_87,u_55,kanban_boards,2025-07-23,32,2025-12-28,20
fu_88,u_55,integrations_slack,2025-07-11,57,2025-12-29,8
fu_89,u_59,kanban_boards,2025-04-25,64,2025-12-25,16
fu_90,u_59,integrations_slack,2025-04-27,32,2025-12-28,18
fu_91,u_59,integrations_google_drive,2025-04-16,77,2025-12-27,7
fu_92,u_60,kanban_boards,2025-11-26,24,2025-12-25,19
fu_93,u_60,time_tracking,2025-11-10,137,2025-12-26,3
fu_94,u_60,reporting_dashboard,2025-12-03,74,2025-12-26,26
fu_95,u_61,kanban_boards,2025-10-11,50,2025-12-29,2
fu_96,u_61,integrations_slack,2025-10-26,49,2025-12-29,17
fu_97,u_61,integrations_google_drive,2025-10-21,47,2025-12-27,12
fu_98,u_63,kanban_boards,2025-01-15,74,2025-12-27,0
fu_99,u_66,custom_fields,2025-12-18,81,2025-12-30,1
fu_100,u_66,reporting_dashboard,2025-12-17,96,2025-12-28,0
fu_101,u_66,integrations_google_drive,2025-12-18,6,2025-12-26,1
fu_102,u_68,kanban_boards,2025-11-03,72,2025-12-27,17
fu_103,u_68,reporting_dashboard,2025-10-26,31,2025-12-25,9
fu_104,u_68,integrations_slack,2025-10-23,7,2025-12-28,6
fu_105,u_68,integrations_google_drive,2025-11-13,23,2025-12-28,27
fu_106,u_69,kanban_boards,2025-10-02,35,2025-12-25,4
fu_107,u_69,reporting_dashboard,2025-10-20,93,2025-12-30,22
fu_108,u_69,integrations_slack,2025-10-02,41,2025-12-25,4
fu_109,u_69,integrations_google_drive,2025-10-19,53,2025-12-28,21
fu_110,u_70,kanban_boards,2024-07-13,25,2025-12-26,18
fu_111,u_70,custom_fields,2024-07-06,22,2025-12-27,11
fu_112,u_70,reporting_dashboard,2024-06-30,55,2025-12-29,5
fu_113,u_70,integrations_slack,2024-06-29,35,2025-12-25,4
fu_114,u_70,integrations_google_drive,2024-07-06,75,2025-12-25,11
fu_115,u_76,kanban_boards,2025-09-20,32,2025-12-27,1
fu_116,u_76,time_tracking,2025-10-06,151,2025-12-27,17
fu_117,u_76,custom_fields,2025-09-25,46,2025-12-27,6
fu_118,u_76,reporting_dashboard,2025-10-16,53,2025-12-31,27
fu_119,u_76,integrations_slack,2025-10-12,18,2025-12-31,23
fu_120,u_76,integrations_google_drive,2025-10-16,68,2025-12-25,27
fu_121,u_78,kanban_boards,2025-09-20,62,2025-12-30,6
fu_122,u_78,automation_rules,2025-09-25,56,2025-12-30,11
fu_123,u_78,reporting_dashboard,2025-10-11,63,2025-12-28,27
fu_124,u_78,integrations_slack,2025-10-01,62,2025-12-31,17
fu_125,u_79,kanban_boards,2025-08-09,82,2025-12-30,4
fu_126,u_79,reporting_dashboard,2025-08-19,57,2025-12-31,14
fu_127,u_79,integrations_slack,2025-09-02,98,2025-12-26,28
fu_128,u_79,integrations_google_drive,2025-08-19,8,2025-12-29,14
fu_129,u_82,reporting_dashboard,2024-03-01,98,2025-12-30,9
fu_130,u_84,kanban_boards,2025-11-13,73,2025-12-31,19
fu_131,u_84,custom_fields,2025-11-12,16,2025-12-25,18
fu_132,u_84,reporting_dashboard,2025-11-05,25,2025-12-31,11
fu_133,u_84,integrations_slack,2025-11-10,63,2025-12-25,16
fu_134,u_87,kanban_boards,2025-12-18,24,2025-12-30,5
fu_135,u_88,kanban_boards,2025-12-16,77,2025-12-26,27
fu_136,u_88,time_tracking,2025-11-24,371,2025-12-27,5
fu_137,u_88,reporting_dashboard,2025-12-09,41,2025-12-26,20
fu_138,u_88,integrations_slack,2025-11-25,33,2025-12-30,6
fu_139,u_88,integrations_google_drive,2025-11-30,58,2025-12-30,11
fu_140,u_91,kanban_boards,2024-08-21,94,2025-12-28,27
fu_141,u_91,reporting_dashboard,2024-08-17,78,2025-12-29,23
fu_142,u_95,kanban_boards,2025-12-01,31,2025-12-26,29
fu_143,u_96,kanban_boards,2025-11-08,53,2025-12-29,14
fu_144,u_96,custom_fields,2025-11-22,14,2025-12-26,28
fu_145,u_96,reporting_dashboard,2025-11-17,17,2025-12-26,23
fu_146,u_96,integrations_google_drive,2025-10-26,12,2025-12-27,1
fu_147,u_97,kanban_boards,2025-08-19,34,2025-12-28,12
fu_148,u_97,time_tracking,2025-08-30,73,2025-12-28,23
fu_149,u_97,automation_rules,2025-08-22,62,2025-12-28,15
fu_150,u_97,reporting_dashboard,2025-08-12,69,2025-12-28,5
fu_151,u_97,integrations_slack,2025-08-24,73,2025-12-29,17
fu_152,u_97,integrations_google_drive,2025-08-16,14,2025-12-27,9
fu_153,u_98,kanban_boards,2025-11-04,93,2025-12-31,24
fu_154,u_98,reporting_dashboard,2025-10-29,11,2025-12-31,18
fu_155,u_98,integrations_google_drive,2025-11-02,67,2025-12-30,22
fu_156,u_102,kanban_boards,2024-05-03,38,2025-12-27,23
fu_157,u_102,reporting_dashboard,2024-05-04,42,2025-12-26,24
fu_158,u_102,integrations_slack,2024-05-03,5,2025-12-27,23
fu_159,u_102,integrations_google_drive,2024-04-10,52,2025-12-28,0
fu_160,u_105,kanban_boards,2025-08-18,96,2025-12-25,22
fu_161,u_105,reporting_dashboard,2025-08-24,6,2025-12-31,28
fu_162,u_107,kanban_boards,2024-10-08,15,2025-12-27,13
fu_163,u_107,automation_rules,2024-09-25,45,2025-12-31,0
fu_164,u_107,reporting_dashboard,2024-09-25,31,2025-12-27,0
fu_165,u_107,integrations_slack,2024-10-22,68,2025-12-29,27
fu_166,u_107,integrations_google_drive,2024-10-05,71,2025-12-29,10
fu_167,u_109,reporting_dashboard,2025-06-06,90,2025-12-29,13
fu_168,u_109,integrations_slack,2025-06-07,99,2025-12-29,14
fu_169,u_110,kanban_boards,2025-02-18,54,2025-12-29,3
fu_170,u_110,reporting_dashboard,2025-02-18,90,2025-12-30,3
fu_171,u_110,integrations_slack,2025-03-07,5,2025-12-26,20
fu_172,u_110,integrations_google_drive,2025-03-04,18,2025-12-30,17
fu_173,u_112,kanban_boards,2024-08-26,19,2025-12-29,29
fu_174,u_112,reporting_dashboard,2024-08-06,32,2025-12-30,9
fu_175,u_112,integrations_slack,2024-08-14,39,2025-12-30,17
fu_176,u_113,kanban_boards,2024-11-04,90,2025-12-28,0
fu_177,u_120,kanban_boards,2025-06-17,75,2025-12-26,14
fu_178,u_120,custom_fields,2025-06-18,74,2025-12-29,15
fu_179,u_124,kanban_boards,2024-12-18,25,2025-12-31,28
fu_180,u_124,automation_rules,2024-11-27,18,2025-12-26,7
fu_181,u_124,reporting_dashboard,2024-11-27,90,2025-12-28,7
fu_182,u_124,integrations_google_drive,2024-11-29,26,2025-12-25,9
fu_183,u_128,kanban_boards,2024-08-29,76,2025-12-27,25
fu_184,u_128,reporting_dashboard,2024-08-09,9,2025-12-25,5
fu_185,u_128,integrations_slack,2024-08-30,67,2025-12-25,26
fu_186,u_130,kanban_boards,2025-06-04,37,2025-12-29,5
fu_187,u_132,kanban_boards,2024-09-20,6,2025-12-30,24
