subscription_id,workspace_id,plan_type,mrr,start_date,end_date,is_active,churn_date,churn_reason
sub_0,ws_0,professional,100,2024-01-09,,True,,
sub_1,ws_1,starter,40,2024-03-18,,True,,
sub_2,ws_10,enterprise,200,2024-03-21,,True,,
sub_3,ws_100,enterprise,250,2024-01-01,,True,,
sub_4,ws_1000,enterprise,250,2024-02-28,,True,,
sub_5,ws_1001,enterprise,200,2024-07-02,,True,,
sub_6,ws_1002,professional,100,2024-09-11,,True,,
sub_7,ws_1003,free,0,2025-05-18,2025-08-11,False,2025-08-11,price
sub_8,ws_1004,free,0,2025-04-21,,True,,
sub_9,ws_1005,free,0,2024-05-21,,True,,
sub_10,ws_1006,free,0,2024-12-16,,True,,
sub_11,ws_1007,enterprise,150,2024-03-12,2025-02-20,False,2025-02-20,competitor
sub_12,ws_1008,enterprise,150,2024-07-11,,True,,
sub_13,ws_1009,starter,30,2024-11-08,,True,,
sub_14,ws_101,professional,125,2024-05-19,,True,,
sub_15,ws_1011,professional,100,2024-12-15,,True,,
sub_16,ws_1012,professional,150,2024-01-20,,True,,
sub_17,ws_1013,free,0,2024-04-21,2024-04-29,False,2024-04-29,competitor
sub_18,ws_1014,free,0,2024-12-10,,True,,
sub_19,ws_1015,free,0,2024-03-22,,True,,
sub_20,ws_1016,starter,50,2024-01-21,,True,,
sub_21,ws_1017,starter,10,2025-07-25,2025-07-29,False,2025-07-29,feature_gap
sub_22,ws_1018,professional,100,2024-06-15,,True,,
sub_23,ws_1019,enterprise,100,2024-09-28,,True,,
sub_24,ws_102,enterprise,150,2024-02-29,,True,,
sub_25,ws_1020,enterprise,250,2024-02-11,,True,,
sub_26,ws_1021,professional,75,2024-04-03,,True,,
sub_27,ws_1022,professional,50,2024-04-18,,True,,
sub_28,ws_1023,enterprise,350,2024-05-31,,True,,
sub_29,ws_1024,enterprise,250,2024-12-03,,True,,
sub_30,ws_1025,professional,75,2024-01-17,,True,,
sub_31,ws_1026,starter,70,2024-03-17,,True,,
sub_32,ws_1027,starter,30,2024-08-25,,True,,
sub_33,ws_1028,starter,80,2024-06-15,,True,,
sub_34,ws_1029,starter,10,2025-06-18,,True,,
sub_35,ws_103,free,0,2025-04-08,,True,,
sub_36,ws_1030,starter,40,2025-01-23,,True,,
sub_37,ws_1031,enterprise,150,2024-08-15,,True,,
sub_38,ws_1032,enterprise,250,2024-05-31,,True,,
sub_39,ws_1033,starter,40,2024-07-30,,True,,
sub_40,ws_1035,starter,10,2025-09-30,,True,,
sub_41,ws_1036,professional,50,2025-05-21,,True,,
sub_42,ws_1037,free,0,2024-01-19,,True,,
sub_43,ws_1038,starter,10,2024-05-26,,True,,
sub_44,ws_1039,professional,100,2024-04-18,,True,,
sub_45,ws_104,professional,125,2024-06-04,,True,,
sub_46,ws_1040,free,0,2024-05-05,2024-10-07,False,2024-10-07,other
sub_47,ws_1041,professional,125,2024-03-12,,True,,
sub_48,ws_1042,free,0,2024-05-27,,True,,
sub_49,ws_1043,enterprise,250,2024-05-11,,True,,
sub_50,ws_1044,professional,125,2024-05-26,,True,,
sub_51,ws_1045,enterprise,350,2024-03-18,,True,,
sub_52,ws_1046,enterprise,350,2024-03-01,,True,,
sub_53,ws_1047,professional,75,2024-05-04,,True,,
sub_54,ws_1048,starter,70,2024-02-21,,True,,
sub_55,ws_1049,enterprise,150,2025-06-17,,True,,
sub_56,ws_105,enterprise,250,2024-05-09,,True,,
sub_57,ws_1050,professional,75,2024-05-06,,True,,
sub_58,ws_1051,enterprise,300,2024-12-02,,True,,
sub_59,ws_1052,professional,125,2024-02-10,,True,,
sub_60,ws_1053,professional,125,2024-04-28,,True,,
sub_61,ws_1054,professional,100,2024-03-03,,True,,
sub_62,ws_1055,starter,50,2024-03-27,,True,,
sub_63,ws_1056,professional,150,2024-01-11,,True,,
sub_64,ws_1057,enterprise,200,2024-01-07,,True,,
sub_65,ws_1058,professional,125,2024-04-26,,True,,
sub_66,ws_1059,free,0,2024-08-14,,True,,
sub_67,ws_106,professional,100,2024-04-07,,True,,
sub_68,ws_1060,enterprise,50,2025-04-18,,True,,
sub_69,ws_1061,free,0,2024-05-02,,True,,
sub_70,ws_1062,free,0,2024-05-09,,True,,
sub_71,ws_1063,free,0,2024-02-03,,True,,
sub_72,ws_1064,free,0,2024-10-30,,True,,
sub_73,ws_1065,professional,150,2024-01-18,,True,,
sub_74,ws_1066,starter,60,2024-04-05,,True,,
sub_75,ws_1067,professional,175,2024-01-26,,True,,
sub_76,ws_1068,professional,75,2024-05-20,,True,,
sub_77,ws_1069,free,0,2024-01-20,2025-03-18,False,2025-03-18,feature_gap
sub_78,ws_107,professional,100,2024-11-25,,True,,
sub_79,ws_1070,professional,50,2024-02-12,,True,,
sub_80,ws_1071,free,0,2024-05-06,,True,,
sub_81,ws_1072,enterprise,300,2024-01-26,,True,,
sub_82,ws_1073,professional,75,2024-01-04,,True,,
sub_83,ws_1074,free,0,2024-09-10,2026-01-29,False,2026-01-29,other
sub_84,ws_1075,professional,125,2024-04-30,,True,,
sub_85,ws_1076,free,0,2024-05-05,,True,,
sub_86,ws_1077,enterprise,350,2024-05-01,,True,,
sub_87,ws_1078,free,0,2024-01-15,,True,,
sub_88,ws_1079,professional,75,2024-05-28,,True,,
sub_89,ws_108,starter,10,2024-01-24,,True,,
sub_90,ws_1080,starter,90,2024-05-02,,True,,
