user_id,workspace_id,signup_date,days_since_signup,total_sessions,total_events,avg_session_duration_min,tasks_created,tasks_completed,boards_created,premium_features_used,last_active_date,is_power_user,is_at_risk_churn,cohort_month
U000001,WS000457,2024-04-12,628,14,101,11.3,17,12,2,0,2024-06-29,False,True,2024-04
U000002,WS000103,2024-04-09,631,13,124,15.7,36,25,4,0,2025-02-18,False,True,2024-04
U000003,WS001127,2024-10-03,454,49,218,40.8,222,144,12,1,2025-06-19,True,True,2024-10
U000004,WS001004,2025-11-30,31,3,14,5.7,9,3,1,0,2025-12-25,False,False,2025-11
U000005,WS000915,2025-04-29,246,3,109,16.8,20,10,1,0,2025-10-19,False,True,2025-04
U000006,WS000572,2024-12-11,385,0,4,8.2,8,3,0,0,2025-09-07,False,True,2024-12
U000007,WS000420,2024-01-02,729,4,103,16.2,19,11,3,0,2025-04-29,False,True,2024-01
U000008,WS002234,2024-09-26,461,46,173,24.6,92,59,15,0,2025-05-05,True,True,2024-09
U000009,WS000357,2024-02-22,678,9,42,10.3,12,8,1,0,2024-09-03,False,True,2024-02
U000010,WS002419,2025-06-04,210,29,336,22.2,59,45,12,1,2025-08-12,True,True,2025-06
U000011,WS001729,2025-05-04,241,23,485,38.6,196,160,17,0,2025-09-22,True,True,2025-05
U000012,WS000131,2024-04-08,632,10,133,19.4,11,7,3,0,2024-05-19,False,True,2024-04
U000013,WS000123,2024-08-05,513,12,135,17.0,37,19,3,0,2025-05-21,False,True,2024-08
U000014,WS000384,2025-07-17,167,1,15,7.7,6,3,0,0,2025-12-27,False,False,2025-07
U000015,WS000896,2024-06-08,571,9,22,10.3,45,32,3,0,2025-03-25,False,True,2024-06
U000016,WS000953,2024-01-28,703,35,250,31.6,201,176,17,0,2024-12-30,True,True,2024-01
U000017,WS002070,2025-01-11,354,0,11,4.7,1,0,0,0,2025-09-07,False,True,2025-01
U000018,WS002466,2024-08-12,506,9,72,17.5,44,28,3,0,2025-06-29,False,True,2024-08
U000019,WS000109,2025-07-17,167,7,43,3.8,8,2,1,0,2025-12-29,False,False,2025-07
U000020,WS002299,2025-10-03,89,51,451,36.4,199,172,13,1,2025-11-10,True,True,2025-10
U000021,WS000815,2025-11-02,59,32,77,10.9,32,19,1,0,2025-12-25,False,False,2025-11
U000022,WS002233,2025-09-01,121,90,1208,34.4,165,108,8,0,2025-12-31,True,False,2025-09
U000023,WS001719,2025-02-06,328,10,149,12.7,14,7,3,0,2025-12-28,False,False,2025-02
U000024,WS000903,2025-10-02,90,10,377,18.1,48,36,1,0,2025-12-30,False,False,2025-10
U000025,WS001840,2025-09-15,107,2,22,5.4,4,1,1,0,2025-12-30,False,False,2025-09
U000026,WS002414,2024-01-09,722,10,74,10.1,30,19,1,0,2024-08-10,False,True,2024-01
U000027,WS001140,2025-09-16,106,1,38,5.8,4,2,1,0,2025-12-28,False,False,2025-09
U000028,WS000027,2024-12-03,393,1,5,9.6,2,0,0,0,2025-05-27,False,True,2024-12
U000029,WS000654,2025-05-18,227,21,196,17.0,16,10,3,0,2025-12-31,False,False,2025-05
U000030,WS001732,2025-07-16,168,3,36,8.2,6,2,0,0,2025-12-30,False,False,2025-07
U000031,WS001394,2025-10-20,72,35,373,14.1,38,21,2,0,2025-12-31,False,False,2025-10
U000032,WS001139,2024-02-06,694,2,8,9.2,8,3,0,0,2024-08-11,False,True,2024-02
U000033,WS000637,2024-06-09,570,9,46,18.8,20,10,3,0,2025-03-23,False,True,2024-06
U000034,WS000882,2024-10-14,443,1,4,9.7,3,1,1,0,2025-02-24,False,True,2024-10
U000035,WS001379,2024-09-02,485,0,3,8.8,0,0,0,0,2025-05-13,False,True,2024-09
U000036,WS000419,2024-02-05,695,10,61,12.7,19,14,4,0,2025-07-07,False,True,2024-02
U000037,WS000380,2024-12-19,377,9,57,12.4,16,12,2,0,2025-02-14,False,True,2024-12
U000038,WS001557,2025-11-22,39,39,205,14.0,28,21,4,0,2025-12-29,False,False,2025-11
U000039,WS000397,2024-01-05,726,2,9,9.7,9,3,1,0,2024-12-26,False,True,2024-01
U000040,WS001471,2025-10-31,61,42,289,19.0,14,7,2,0,2025-12-29,False,False,2025-10
U000041,WS001409,2025-10-02,90,12,95,19.4,17,11,4,0,2025-11-11,False,True,2025-10
U000042,WS002473,2024-09-28,459,11,61,17.6,19,10,1,0,2024-12-12,False,True,2024-09
U000043,WS001084,2024-03-26,645,10,140,13.5,36,19,2,0,2024-06-09,False,True,2024-03
U000044,WS000178,2024-08-05,513,33,498,18.6,10,5,3,0,2025-12-28,False,False,2024-08
U000045,WS001882,2024-04-09,631,3,100,11.9,23,17,1,0,2024-12-21,False,True,2024-04
U000046,WS002197,2025-05-11,234,14,499,10.6,40,31,4,1,2025-12-28,False,False,2025-05
U000047,WS000512,2025-11-21,40,5,16,3.4,7,3,1,0,2025-12-31,False,False,2025-11
U000048,WS001551,2025-08-29,124,13,36,19.0,14,9,4,0,2025-10-09,False,True,2025-08
U000049,WS000323,2025-02-21,313,4,117,18.4,30,15,4,0,2025-04-26,False,True,2025-02
U000050,WS002262,2024-10-03,454,26,388,8.6,43,24,1,2,2025-12-27,False,False,2024-10
U000051,WS001201,2024-04-05,635,11,130,8.8,29,17,4,0,2024-05-18,False,True,2024-04
U000052,WS001482,2024-03-02,669,4,127,16.7,31,23,2,0,2025-04-09,False,True,2024-03
U000053,WS002365,2024-03-16,655,3,38,16.6,29,19,3,0,2025-04-10,False,True,2024-03
U000054,WS000788,2025-01-30,335,0,4,3.1,4,1,0,0,2025-03-30,False,True,2025-01
U000055,WS000285,2025-02-01,333,2,13,4.8,0,0,0,0,2025-09-10,False,True,2025-02
U000056,WS000188,2025-05-06,239,12,165,10.4,28,18,2,1,2025-12-26,False,False,2025-05
U000057,WS000934,2025-05-31,214,14,27,17.9,37,27,1,0,2025-10-20,False,True,2025-05
U000058,WS001186,2024-10-27,430,14,28,15.3,27,17,1,0,2025-08-04,False,True,2024-10
U000059,WS000327,2024-02-08,692,1,9,4.0,8,4,1,0,2024-09-21,False,True,2024-02
U000060,WS000954,2024-01-01,730,1,6,9.2,7,2,1,0,2025-05-26,False,True,2024-01
U000061,WS000414,2024-05-13,597,31,283,18.8,13,8,3,0,2025-12-27,False,False,2024-05
U000062,WS001557,2024-08-16,502,1,6,9.6,4,1,0,0,2024-10-08,False,True,2024-08
U000063,WS001139,2025-10-17,75,14,456,17.2,41,30,1,0,2025-12-30,False,False,2025-10
U000064,WS001858,2024-12-13,383,4,147,18.1,47,34,2,0,2025-06-15,False,True,2024-12
U000065,WS001495,2024-07-19,530,2,11,7.5,1,0,0,0,2025-03-02,False,True,2024-07
U000066,WS000667,2024-09-12,475,5,54,17.3,16,12,3,0,2024-09-28,False,True,2024-09
U000067,WS001517,2025-01-08,357,49,176,8.7,28,16,4,0,2025-12-31,False,False,2025-01
U000068,WS001456,2025-11-19,42,159,1469,17.7,139,123,15,0,2025-12-29,True,False,2025-11
U000069,WS000859,2025-12-09,22,8,43,3.6,4,1,0,0,2025-12-27,False,False,2025-12
U000070,WS001094,2024-03-25,646,16,154,42.8,221,185,6,1,2024-05-21,True,True,2024-03
U000071,WS000293,2024-12-13,383,1,8,5.1,9,4,1,0,2025-08-26,False,True,2024-12
U000072,WS002496,2024-02-23,677,55,225,40.7,140,104,17,5,2025-04-05,True,True,2024-02
U000073,WS000701,2024-04-12,628,5,114,10.7,49,26,2,0,2025-02-06,False,True,2024-04
U000074,WS002188,2024-11-03,423,40,184,39.6,110,95,8,0,2024-12-09,True,True,2024-11
U000075,WS001003,2024-07-02,547,6,114,15.4,26,18,4,0,2025-06-13,False,True,2024-07
U000076,WS000670,2024-02-12,688,13,110,12.2,39,25,2,0,2024-08-19,False,True,2024-02
U000077,WS001894,2025-11-26,35,46,370,19.5,14,10,1,0,2025-12-29,False,False,2025-11
U000078,WS001555,2024-01-05,726,1,11,9.2,0,0,1,0,2025-06-28,False,True,2024-01
U000079,WS001106,2024-03-18,653,11,31,17.5,20,15,4,0,2024-11-28,False,True,2024-03
U000080,WS002282,2024-12-02,394,9,114,11.9,41,27,4,0,2025-03-31,False,True,2024-12
U000081,WS000900,2024-01-28,703,40,437,16.1,102,76,14,0,2025-02-02,True,True,2024-01
U000082,WS001329,2025-05-22,223,12,109,16.1,29,20,1,0,2025-09-20,False,True,2025-05
U000083,WS000230,2024-09-29,458,43,471,30.0,63,51,18,0,2025-08-01,True,True,2024-09
U000084,WS000939,2024-08-20,498,5,109,15.2,10,6,2,0,2024-12-15,False,True,2024-08
U000085,WS000132,2025-06-01,213,27,499,8.3,13,9,4,0,2025-12-29,False,False,2025-06
U000086,WS001293,2025-10-23,69,8,31,5.0,3,1,1,0,2025-12-28,False,False,2025-10
U000087,WS001644,2024-08-30,488,12,129,12.7,35,20,1,0,2025-04-16,False,True,2024-08
U000088,WS001097,2025-08-28,125,16,386,18.2,45,30,4,0,2025-12-31,False,False,2025-08
U000089,WS000272,2025-10-06,86,2,5,5.8,4,1,1,0,2025-10-31,False,True,2025-10
U000090,WS000865,2025-10-15,77,6,30,7.3,5,2,0,0,2025-12-29,False,False,2025-10
U000091,WS002324,2024-01-10,721,3,140,14.2,11,6,4,0,2024-01-29,False,True,2024-01
U000092,WS001289,2025-07-03,181,6,141,17.4,17,11,1,0,2025-08-27,False,True,2025-07
U000093,WS000871,2024-05-16,594,13,69,12.8,26,19,1,0,2024-05-23,False,True,2024-05
U000094,WS002045,2024-08-16,502,2,13,9.0,3,1,1,0,2025-03-23,False,True,2024-08
U000095,WS001621,2025-08-23,130,13,180,8.8,12,6,2,2,2025-12-25,False,False,2025-08
U000096,WS001880,2025-10-26,66,10,341,17.7,34,20,1,0,2025-12-30,False,False,2025-10
U000097,WS000586,2025-01-25,340,36,58,16.6,27,19,2,0,2025-12-28,False,False,2025-01
U000098,WS001085,2025-02-23,311,2,42,3.5,0,0,0,0,2025-12-27,False,False,2025-02
U000099,WS000572,2025-05-31,214,29,419,17.0,32,22,4,0,2025-12-26,False,False,2025-05
U000100,WS001011,2025-10-09,83,37,515,22.1,112,82,5,0,2025-10-27,True,True,2025-10
U000101,WS002300,2024-10-09,448,48,449,31.9,131,91,9,0,2025-09-10,True,True,2024-10
U000102,WS002208,2025-01-30,335,48,374,35.9,84,55,18,4,2025-09-03,True,True,2025-01
U000103,WS001077,2024-05-12,598,9,24,6.2,0,0,1,0,2025-12-30,False,False,2024-05
U000104,WS002395,2025-12-26,5,72,545,17.6,244,156,7,5,2025-12-27,True,False,2025-12
U000105,WS001755,2025-07-20,164,4,42,5.5,4,2,0,0,2025-12-25,False,False,2025-07
U000106,WS002391,2025-07-28,156,16,221,14.2,19,11,2,0,2025-12-26,False,False,2025-07
U000107,WS001636,2024-06-27,552,12,110,15.1,12,6,4,0,2024-12-30,False,True,2024-06
U000108,WS001483,2024-06-04,575,14,126,11.7,45,33,3,0,2025-05-13,False,True,2024-06
U000109,WS000899,2024-12-25,371,3,122,10.8,10,7,1,0,2025-05-21,False,True,2024-12
U000110,WS000567,2024-10-31,426,3,62,14.7,36,19,4,0,2024-11-25,False,True,2024-10
U000111,WS002088,2024-04-22,618,0,7,3.3,4,1,0,0,2025-03-13,False,True,2024-04
U000112,WS002022,2025-04-02,273,13,421,9.8,14,7,2,0,2025-12-31,False,False,2025-04
U000113,WS000373,2024-11-08,418,14,116,18.5,48,25,3,0,2025-07-27,False,True,2024-11
U000114,WS000193,2025-08-31,122,34,57,14.3,14,7,2,0,2025-12-29,False,False,2025-08
